title	url	agency	description	format	update_frequency	cost	license
Chart NZ 4541 Approaches to Wanganui	https://data.linz.govt.nz/layer/1301-chart-nz-4541-approaches-to-wanganui/	Land Information New Zealand	<p>Raster chart image of: NZ 4541 Approaches to Wanganui<br /></p><p>This data was compiled for the use at the following scale: 1:15000<br /></p><p>File reference: NZ454101<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4541 Approaches to Wanganui: Whanganui River, Castlecliff Wharves	https://data.linz.govt.nz/layer/1390-chart-nz-4541-approaches-to-wanganui-whanganui-river-castlecliff-wharves/	Land Information New Zealand	<p>Raster chart image of: NZ 4541 Approaches to Wanganui: Whanganui River, Castlecliff Wharves<br /></p><p>This data was compiled for the use at the following scale: 1:7500<br /></p><p>File reference: NZ454102<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 46 Cook Strait	https://data.linz.govt.nz/layer/1245-chart-nz-46-cook-strait/	Land Information New Zealand	<p>Raster chart image of: NZ 46 Cook Strait<br /></p><p>This data was compiled for the use at the following scale: 1:200000<br /></p><p>File reference: NZ4601<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 463 Approaches to Wellington	https://data.linz.govt.nz/layer/1272-chart-nz-463-approaches-to-wellington/	Land Information New Zealand	<p>Raster chart image of: NZ 463 Approaches to Wellington<br /></p><p>This data was compiled for the use at the following scale: 1:100000<br /></p><p>File reference: NZ46301<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4631 Rauoterangi Channel and Kapiti Island	https://data.linz.govt.nz/layer/1302-chart-nz-4631-rauoterangi-channel-and-kapiti-island/	Land Information New Zealand	<p>Raster chart image of: NZ 4631 Rauoterangi Channel and Kapiti Island<br /></p><p>This data was compiled for the use at the following scale: 1:27000<br /></p><p>File reference: NZ463101<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4632 Approaches to Porirua Harbour	https://data.linz.govt.nz/layer/1303-chart-nz-4632-approaches-to-porirua-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 4632 Approaches to Porirua Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:16000<br /></p><p>File reference: NZ463201<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4633 Wellington Harbour	https://data.linz.govt.nz/layer/1305-chart-nz-4633-wellington-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 4633 Wellington Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:25000<br /></p><p>File reference: NZ463301<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4634 Entrance to Wellington Harbour	https://data.linz.govt.nz/layer/1391-chart-nz-4634-entrance-to-wellington-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 4634 Entrance to Wellington Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:12500<br /></p><p>File reference: NZ463401<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Evans Bay	https://data.linz.govt.nz/layer/1539-chart-nz-4634-wellington-harbour-entrance-and-plans-of-wharves-evans-bay/	Land Information New Zealand	<p>Raster chart image of: NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Evans Bay<br /></p><p>This data was compiled for the use at the following scale: 1:7000<br /></p><p>File reference: NZ463402<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Lambton Harbour	https://data.linz.govt.nz/layer/1460-chart-nz-4634-wellington-harbour-entrance-and-plans-of-wharves-lambton-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Lambton Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:7000<br /></p><p>File reference: NZ463404<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Point Howard and Seaview Wharv	https://data.linz.govt.nz/layer/1498-chart-nz-4634-wellington-harbour-entrance-and-plans-of-wharves-point-howard-and-seaview-wharv/	Land Information New Zealand	<p>Raster chart image of: NZ 4634 Wellington Harbour Entrance and Plans of Wharves: Point Howard and Seaview Wharv<br /></p><p>This data was compiled for the use at the following scale: 1:7000<br /></p><p>File reference: NZ463403<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 48 Western Approaches to Cook Strait	https://data.linz.govt.nz/layer/1243-chart-nz-48-western-approaches-to-cook-strait/	Land Information New Zealand	<p>Raster chart image of: NZ 48 Western Approaches to Cook Strait<br /></p><p>This data was compiled for the use at the following scale: 1:400000<br /></p><p>File reference: NZ4801<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 51 Tauroa Point to Cape Brett	https://data.linz.govt.nz/layer/1244-chart-nz-51-tauroa-point-to-cape-brett/	Land Information New Zealand	<p>Raster chart image of: NZ 51 Tauroa Point to Cape Brett<br /></p><p>This data was compiled for the use at the following scale: 1:200000<br /></p><p>File reference: NZ5101<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5111 Plans Between Parengarenga and Whangaruru: Mangonui Harbour	https://data.linz.govt.nz/layer/1496-chart-nz-5111-plans-between-parengarenga-and-whangaruru-mangonui-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 5111 Plans Between Parengarenga and Whangaruru: Mangonui Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:9000<br /></p><p>File reference: NZ511103<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5111 Plans Between Parengarenga and Whangaruru: Parengarenga Harbour	https://data.linz.govt.nz/layer/1540-chart-nz-5111-plans-between-parengarenga-and-whangaruru-parengarenga-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 5111 Plans Between Parengarenga and Whangaruru: Parengarenga Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:36000<br /></p><p>File reference: NZ511102<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5111 Plans Between Parengarenga and Whangaruru: Whangaruru Harbour	https://data.linz.govt.nz/layer/1392-chart-nz-5111-plans-between-parengarenga-and-whangaruru-whangaruru-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 5111 Plans Between Parengarenga and Whangaruru: Whangaruru Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:25000<br /></p><p>File reference: NZ511101<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/hydro/charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/hydro/charts/chart-symbols-terms-abbreviations">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/hydro/regulation/">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5113 Plans in Rangaunu Bay: Awanui River	https://data.linz.govt.nz/layer/1393-chart-nz-5113-plans-in-rangaunu-bay-awanui-river/	Land Information New Zealand	<p>Raster chart image of: NZ 5113 Plans in Rangaunu Bay: Awanui River<br /></p><p>This data was compiled for the use at the following scale: 1:20000<br /></p><p>File reference: NZ5113<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5113 Plans in Rangaunu Bay: Houhora Harbour	https://data.linz.govt.nz/layer/1495-chart-nz-5113-plans-in-rangaunu-bay-houhora-harbour/	Land Information New Zealand	<p>Raster chart image of: NZ 5113 Plans in Rangaunu Bay: Houhora Harbour<br /></p><p>This data was compiled for the use at the following scale: 1:25000<br /></p><p>File reference: NZ5113<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5113 Rangaunu Bay and Awanui River Approaches	https://data.linz.govt.nz/layer/1541-chart-nz-5113-rangaunu-bay-and-awanui-river-approaches/	Land Information New Zealand	<p>Raster chart image of: NZ 5113 Rangaunu Bay and Awanui River Approaches<br /></p><p>This data was compiled for the use at the following scale: 1:50000<br /></p><p>File reference: NZ5113<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5114 Doubtless Bay	https://data.linz.govt.nz/layer/1394-chart-nz-5114-doubtless-bay/	Land Information New Zealand	<p>Raster chart image of: NZ 5114 Doubtless Bay<br /></p><p>This data was compiled for the use at the following scale: 1:40000<br /></p><p>File reference: NZ5114<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 5114 Whangaroa Harbour and Approaches	https://data.linz.govt.nz/layer/1542-chart-nz-5114-whangaroa-harbour-and-approaches/	Land Information New Zealand	<p>Raster chart image of: NZ 5114 Whangaroa Harbour and Approaches<br /></p><p>This data was compiled for the use at the following scale: 1:25000<br /></p><p>File reference: NZ5114<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
Chart NZ 512 Cape Karikari to Cape Brett	https://data.linz.govt.nz/layer/1273-chart-nz-512-cape-karikari-to-cape-brett/	Land Information New Zealand	<p>Raster chart image of: NZ 512 Cape Karikari to Cape Brett<br /></p><p>This data was compiled for the use at the following scale: 1:100000<br /></p><p>File reference: NZ5120<br /></p><p>THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.<br /></p><p>The hydrographic raster data made available through the LINZ Data Service is based on the Paper Navigational Charts published and maintained by the New Zealand Hydrographic Authority at Land Information New Zealand (LINZ).<br /></p><p>The online New Zealand Chart Catalogue provides more detailed and the most up to date information about New Zealand charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/nz202-chart-catalogue">New Zealand Chart Catalogue</a><br /></p><p>Information on symbols and abbreviations used on nautical charts: <a href="http://www.linz.govt.nz/sea/charts/paper-charts/symbols-terms-abbreviations-used-charts">Symbols and Abbreviations</a><br /></p><p>Hydrographic standards and specifications for nautical charts and publications: <a href="http://www.linz.govt.nz/sea/charts/hydrographic-standards-technical-specifications">Standards and Specifications</a></p>	kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
